wavelength,TL1,TL2
400,0.6,1
410,0.51,0.583
420,0.433,0.3
430,0.377,0.116
440,0.327,0.033
450,0.295,0.005
460,0.267,0
470,0.233,0
480,0.207,0
490,0.187,0
500,0.167,0
510,0.147,0
520,0.133,0
530,0.12,0
540,0.107,0
550,0.093,0
560,0.08,0
570,0.067,0
580,0.053,0
590,0.04,0
600,0.033,0
610,0.027,0
620,0.02,0
630,0.013,0
640,0.007,0
650,0,0
